서비스링크,표준링크아이디
1220005600,1220005603
1220005600,1220005601
1220005600,1220343000
1220005700,1220005701
1220005700,1220005703
1220005800,1220005802
1220005800,1220005801
1220005900,1220005901
1220005900,1220005902
1220006000,1230040000
1220006000,1230039300
1220006000,1220006005
1220006000,1220006004
1220006000,1220006003
1220006000,1220006012
1220006000,1220006022
1220006000,1220006001
1220006100,1220006101
1220006100,1220006112
1220006100,1220006122
1220006100,1220006104
1220006100,1220006105
1220006100,1220006106
1220006100,1230039200
1220006100,1230039900
1220006200,1220006200
1220006300,1220006302
1220006400,1220006402
1220006400,1220006401
1220006500,1220006501
1220006500,1220006502
1220006600,1220346501
1220006600,1220346001
1220006600,1220006613
1220006600,1220006624
1220006600,1220006625
1220006600,1220006602
1220006600,1220006601
1220006700,1220006701
1220006700,1220006702
1220006700,1220006724
1220006700,1220006725
1220006700,1220006723
1220006700,1220346101
1220006700,1220346401
1220006700,1220006705
1220006700,1220006706
1220006800,1220006803
1220006800,1220006802
1220006800,1220006801
1220006900,1220006901
1220006900,1220006902
1220006900,1220006903
1220007000,1220007002
1220007000,1220007001
1220007100,1220007101
1220007100,1220007102
1220007200,1220007200
1220007300,1220007300
1220007400,1220007400
1220007500,1220007500
1220007600,1220007601
1220007700,1220007701
1220007700,1220007702
1220007800,1220007802
1220007900,1220007900
1220008000,1220008005
1220008000,1220008004
1220008000,1220008003
1220008000,1220008002
1220008000,1220008001
1220008100,1220008101
1220008100,1220008102
1220008100,1220008103
1220008100,1220008104
1220008100,1220008105
1220008200,1220008200
1220008300,1220008300
1220008400,1220008401
1220008500,1220008501
1220008600,1220008600
1220008600,1120064700
1220008700,1220008700
1220009000,1210178500
1220009100,1210178400
1220009400,1220009402
1220009500,1220009502
1220009800,1220011601
1220009800,1220009802
1220009800,1220009801
1220009900,1220011701
1220010000,1220010005
1220010000,1220010004
1220010000,1220010008
1220010000,1220010009
1220010000,1220010002
1220010000,1220010006
1220010000,1220010007
1220010100,1220010106
